date,apix_daily,DELHI-MUMBAI,DELHI-BANGALORE,MUMBAI-BANGALORE,DELHI-KOLKATA,BANGALORE-HYDERABAD,CHENNAI-DELHI,MUMBAI-GOA,DELHI-AHMEDABAD,DELHI-HYDERABAD,DELHI-PATNA
2025-01-01,106.43007418980137,106.43007418980139,106.43007418980139,106.43007418980139,106.43007418980139,106.43007418980139,106.43007418980139,106.43007418980139,106.43007418980139,106.43007418980139,106.43007418980139
2025-01-02,107.38745586155967,105.26699530422715,105.51520325372395,108.3605162179765,111.31280571609351,107.55836223318957,106.6102721937022,105.86228674689241,110.7243863572797,106.98875057210704,106.82448995511128
2025-01-03,120.13743603454579,114.12585048354104,119.64122805500655,123.7376061228999,123.66554285726606,120.26211533596218,120.83701414080954,115.46759382084902,123.25054566215591,120.47280366956507,119.77850379039099
2025-01-04,107.70149175737075,104.90057529513855,105.46108066693985,111.21665108969775,111.39886570843078,106.05107402661655,111.79901106458802,104.75063434749319,108.95322290508342,106.89406747580396,106.57574418290262
2025-01-05,120.9734610165011,118.58285526970074,121.16373009133108,126.48351095335548,122.08280862579147,118.78180624869402,120.70767384279554,119.22423926140362,122.21488633759287,119.43552389235929,121.3923063006958
2025-01-06,106.89888571281965,105.45785129471594,105.68088692347276,105.32841131218869,108.30606033580888,107.13122656033761,107.5652139171177,108.31032497742768,108.40535443582596,107.22570149959948,109.50062751153578
2025-01-07,107.49289555064615,104.46713943893799,105.57175197391274,113.6611764653381,110.10407342976482,107.790883151309,109.45220861183108,105.18317904963503,108.82539949918882,106.18080193422195,104.73594464587913
2025-01-08,108.15078218488586,106.57528767624109,103.10509269021819,112.96324129307175,108.85190171114179,111.38441273855453,109.13255495946596,101.54314928635108,112.47083012480037,108.30258178357457,107.98283882782273
2025-01-09,106.88612108768797,102.34525889131224,104.65343401021721,109.90747085258499,111.43949642720837,111.45735670448278,108.00342879007925,104.45895079631502,108.723852294064,104.5781463886815,106.52568591230626
2025-01-10,119.77369359806033,116.93124622313677,113.73112180038132,124.85520019003806,122.76443822614762,118.65161267410969,125.28718396608436,115.24352949107578,122.61312713182245,122.24712707835931,117.88905129615908
2025-01-11,106.20612306358484,105.55828159064833,102.35335202392986,108.96777560205638,110.55353989536337,105.31181321249191,104.26019902563024,103.1198075458847,109.39991673820052,106.45870468485893,107.25125686296659
